tweet_id,sentiment
7506,1
7992,1
247,2
7688,2
3294,2
6125,1
6131,2
4134,1
8206,1
8552,1
1634,2
4256,2
4921,1
1694,1
4193,1
7682,2
8151,1
1274,1
5868,1
3327,1
12,1
5839,1
5562,1
2959,1
8940,1
1995,2
607,1
7364,1
8167,1
681,2
8702,1
3871,1
5557,2
7499,1
6852,1
2500,1
6907,1
7905,1
7744,2
5033,1
3563,1
8922,1
2312,1
5771,1
2626,1
7783,1
7400,1
5905,1
1050,2
8446,2
575,2
1014,1
139,1
8771,1
8666,1
7096,1
2911,2
5572,2
7203,2
7189,2
170,2
3892,1
6653,2
5391,2
3853,2
4740,1
2203,1
7134,2
4702,2
8385,2
6857,0
5569,1
4656,1
6289,1
288,1
2363,1
3986,2
806,1
8827,1
5233,2
1932,2
6337,1
3743,1
1129,2
2501,1
4331,1
2680,1
4714,0
6469,1
1084,1
4415,1
2328,2
2943,1
2606,1
4778,1
1939,2
2006,1
7130,1
2894,2
6266,1
8540,1
4434,2
3261,0
8947,2
5081,1
2198,1
881,1
5510,2
127,1
4801,1
5633,2
8663,1
6329,1
2905,2
7357,1
5635,1
7399,1
2767,1
4587,1
6954,2
4651,1
2045,2
8800,1
2910,1
3218,1
6829,2
6046,1
4325,1
5013,1
7045,1
6132,2
8085,2
1570,2
5753,1
8852,1
6905,1
4049,1
1732,1
495,2
6365,1
484,1
6787,0
1345,1
8545,1
4560,1
1051,2
8046,2
6496,1
8946,0
5533,1
8471,2
1639,2
4799,2
2569,1
6086,2
4013,0
785,1
571,1
6731,0
5627,1
5668,1
7986,1
3890,1
7251,1
3971,1
639,1
2443,1
8796,2
7959,1
4511,1
4389,2
5492,0
3045,1
7865,1
5409,0
5777,2
2335,2
6963,2
677,1
5453,1
145,2
3070,1
7751,1
2096,1
1980,2
18,2
1068,1
6899,1
423,1
4664,1
6634,2
7942,1
986,2
904,2
2855,2
160,2
4824,1
6220,1
8137,2
7168,1
622,0
2618,2
659,1
8759,0
8466,1
3055,2
3626,1
3320,1
8459,0
1216,1
2003,2
8484,1
2343,1
6393,2
6994,1
2021,1
8405,2
6727,2
3495,1
2238,1
444,1
2374,2
5420,1
717,1
7799,1
7872,0
5242,1
7034,1
6535,1
8890,2
8635,1
3914,2
5929,2
5973,1
2781,2
3519,2
5045,1
7058,2
7765,2
1260,1
982,2
1630,2
6793,2
1660,1
8004,1
6951,1
7733,1
2757,0
8393,1
7076,1
4159,1
7068,1
7344,1
4936,2
3280,2
101,1
4660,1
5685,1
2275,2
3239,1
196,1
8357,2
4942,1
2928,2
5911,1
303,1
3564,0
9038,1
6351,1
2817,1
7964,1
7071,1
9033,2
1429,0
7769,2
7965,1
6056,1
2334,2
2502,1
7320,1
7455,2
1511,2
15,2
3021,2
5809,0
7740,2
5679,1
1195,2
1849,2
1909,1
5532,2
4276,1
1880,1
7244,2
5352,1
8904,2
8899,0
9076,1
300,1
4425,1
3332,2
1067,1
2562,1
7000,2
4094,2
7048,1
188,2
7157,2
1184,1
4076,2
6931,0
6499,1
2602,2
5585,1
492,1
6579,1
5468,2
3908,0
8740,2
5375,1
4541,1
7635,0
3001,1
1954,1
7492,2
4452,1
2857,1
2924,1
7104,1
2462,2
3963,2
9007,0
6766,1
1140,2
1605,1
7121,2
5665,1
5232,1
5631,1
5448,1
738,1
3974,2
1644,2
4002,0
2222,1
2671,2
6606,1
3619,2
2130,1
905,1
5758,1
8923,1
7952,1
3996,2
6238,2
4515,1
4031,1
6603,1
4578,1
4357,2
8892,2
6166,2
2873,1
1123,1
9039,1
4802,1
6128,1
6010,2
5281,1
6466,1
2898,2
418,1
4536,2
8440,2
4176,1
3033,1
4261,1
4654,2
6261,2
1075,1
6885,1
7485,1
1740,1
4558,2
8460,0
3031,2
1078,1
6152,2
6420,1
7584,1
2321,1
1353,1
926,1
3297,1
1726,1
8383,1
5062,2
56,2
7669,1
7309,0
2120,2
5715,0
8767,2
5073,2
4613,2
4756,2
9019,2
8180,2
3687,2
4007,1
125,1
6315,1
2387,1
1053,1
2823,1
4214,2
3946,0
8441,1
2174,2
7122,1
4060,2
6361,1
591,1
4141,0
4497,2
3088,1
6632,1
5311,1
4650,2
3535,1
4367,2
3873,2
3782,1
2687,1
5862,1
676,2
1561,1
3637,1
4492,1
4832,2
2666,0
6191,2
4292,1
6672,1
2494,2
8333,2
1130,1
576,1
1202,2
4681,1
5377,0
252,2
8633,2
270,2
9024,2
1073,1
5859,1
6747,2
923,1
159,1
8152,1
7333,2
6360,1
701,0
8944,1
5256,1
8042,1
7707,1
8706,2
6548,1
8910,1
5,1
3854,1
731,1
327,1
7352,2
7950,2
2545,1
3736,1
